[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1480485262.746000 11/29/2016, 9:54:22 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, pb6051
INFO, WEIGHT, 48.400
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: pb6051.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1480486699.241,,1.000000e+003,1.199487e+001,9.266196e-003,0.000000e+000,3,9.910284e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,1.119614e-003,0.000000e+000,0,0,0,
1480486803.363,,1.000000e+003,1.299681e+001,8.573243e-003,0.000000e+000,3,9.912649e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,3.499985e-004,0.000000e+000,0,0,0,
1480486815.383,,1.000000e+003,1.299469e+001,8.570014e-003,0.000000e+000,3,9.910662e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,2.098083e-004,0.000000e+000,0,0,0,
1480486827.553,,1.000000e+003,1.299552e+001,8.568561e-003,0.000000e+000,3,9.911475e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,1.870155e-003,0.000000e+000,0,0,0,
1480486920.985,,1.000000e+003,1.400233e+001,7.966926e-003,0.000000e+000,3,9.915639e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,2.830505e-003,0.000000e+000,0,0,0,
1480486934.135,,1.000000e+003,1.400237e+001,7.966561e-003,0.000000e+000,3,9.912127e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,2.920151e-003,0.000000e+000,0,0,0,
1480486947.465,,1.000000e+003,1.400178e+001,7.966751e-003,0.000000e+000,3,9.913470e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,9.298325e-004,0.000000e+000,0,0,0,
1480487051.816,,1.000000e+003,1.499977e+001,7.441364e-003,0.000000e+000,3,9.916051e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,5.000114e-003,0.000000e+000,0,1,0,
1480487064.056,,1.000000e+003,1.500091e+001,7.440622e-003,0.000000e+000,3,9.915065e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,1.810074e-003,0.000000e+000,0,1,0,
1480487077.876,,1.000000e+003,1.500272e+001,7.442140e-003,0.000000e+000,3,9.914136e-001,0.000000e+000,,,,,,,,,,,,,,18,1,4.000000e+000,9.098053e-004,0.000000e+000,0,1,0,
