[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1500091929.501000 7/14/2017, 9:12:09 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, pb6051
INFO, WEIGHT, 70.000
INFO, AREA,
INFO, LENGTH,
INFO, SHAPE,
INFO, COMMENT,
INFO, SEQUENCE FILE: pb6051_dc_mag_v3_ac1500Oe.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1500092111.582,,2.509501e+002,1.799060e+000,1.517204e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908056e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,8.000135e-004,0,0,0,
1500092116.567,,2.509501e+002,1.798887e+000,1.517444e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908872e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.680970e-003,0,0,0,
1500092121.372,,2.509501e+002,1.799071e+000,1.517698e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908236e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,4.509687e-004,0,0,0,
1500092126.107,,2.509501e+002,1.798455e+000,1.517715e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908409e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,7.790327e-004,0,0,0,
1500092130.382,,2.509501e+002,1.798630e+000,1.518393e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.906177e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.127005e-003,0,0,0,
1500092134.632,,2.509501e+002,1.798835e+000,1.517252e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908586e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,7.170439e-004,0,0,0,
1500092138.882,,2.509501e+002,1.800138e+000,1.518320e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.907674e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,4.520416e-004,0,0,0,
1500092143.132,,2.509501e+002,1.800323e+000,1.518197e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.907741e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,8.230209e-004,0,0,0,
1500092147.617,,2.509501e+002,1.800005e+000,1.520430e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909953e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.459956e-003,0,0,0,
1500092152.602,,2.509501e+002,1.799081e+000,1.517246e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.907450e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,8.829832e-004,0,0,0,
1500092157.102,,2.509501e+002,1.799040e+000,1.520414e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909031e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,8.009672e-004,0,0,0,
1500092161.852,,2.509501e+002,1.799214e+000,1.517308e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909236e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,8.201599e-005,0,0,0,
1500092166.337,,2.509501e+002,1.800251e+000,1.521530e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909819e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,5.550385e-004,0,0,0,
1500092170.822,,2.509501e+002,1.800303e+000,1.521393e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909198e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,6.580353e-004,0,0,0,
1500092175.307,,2.509501e+002,1.800210e+000,1.521579e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909917e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,8.430481e-004,0,0,0,
1500092179.557,,2.509501e+002,1.799532e+000,1.521983e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908829e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,5.139112e-004,0,0,0,
1500092184.057,,2.509501e+002,1.800313e+000,1.520068e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909561e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,8.020401e-004,0,0,0,
1500092188.557,,2.509501e+002,1.800303e+000,1.520506e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908178e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.192927e-003,0,0,0,
1500092193.057,,2.509501e+002,1.800498e+000,1.520787e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909872e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,8.029938e-004,0,0,0,
1500092197.812,,2.509501e+002,1.800478e+000,1.521224e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908515e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,7.619858e-004,0,0,0,
1500092202.062,,2.509501e+002,1.800673e+000,1.521362e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908378e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,3.709793e-004,0,0,0,
1500092206.562,,2.509501e+002,1.800406e+000,1.521101e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.910311e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.649857e-004,0,0,0,
1500092211.312,,2.509501e+002,1.800262e+000,1.520941e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909481e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.274943e-003,0,0,0,
1500092215.617,,2.509501e+002,1.801034e+000,1.520666e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909994e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,8.859634e-004,0,0,0,
1500092220.602,,2.509501e+002,1.800962e+000,1.520878e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.907543e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.029968e-003,0,0,0,
1500092225.587,,2.509501e+002,1.800261e+000,1.520657e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909291e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,3.709793e-004,0,0,0,
1500092230.572,,2.509501e+002,1.801126e+000,1.521466e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.907961e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,2.059937e-004,0,0,0,
1500092235.558,,2.509501e+002,1.801250e+000,1.520650e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.907526e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,4.196167e-005,0,0,0,
1500092240.543,,2.509501e+002,1.801126e+000,1.520083e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909188e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,2.889633e-004,0,0,0,
1500092245.528,,2.509501e+002,1.801147e+000,1.521077e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909691e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.649857e-004,0,0,0,
1500092250.013,,2.509501e+002,1.801167e+000,1.520945e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.910083e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.230240e-004,0,0,0,
1500092254.498,,2.509501e+002,1.800704e+000,1.520636e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908251e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.049995e-003,0,0,0,
1500092258.748,,2.509501e+002,1.801281e+000,1.520134e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909905e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,9.690523e-004,0,0,0,
1500092263.500,,2.509501e+002,1.801168e+000,1.521064e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.910182e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.072049e-003,0,0,0,
1500092268.000,,2.509501e+002,1.800478e+000,1.520827e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909501e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,2.269745e-004,0,0,0,
1500092272.485,,2.509501e+002,1.800642e+000,1.521056e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908260e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,5.559921e-004,0,0,0,
1500092276.970,,2.509501e+002,1.800488e+000,1.519668e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909731e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,8.640289e-004,0,0,0,
