[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3765464791.22163,04/26/2019,7:27 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 399, MultiVu Release 2.3.4.15,APPNAME
INFO,0,MOMENT_UNITS
INFO,K(18-c-6)_Er(hdcCOT)2,SAMPLE_MATERIAL
INFO,yellow crystalline powder,SAMPLE_COMMENT
INFO,7.2,SAMPLE_MASS
INFO,22.7,SAMPLE_VOLUME
INFO,839.24,SAMPLE_MOLECULAR_WEIGHT
INFO,-125.81E-6,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.54,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3765465940.9797,14.0000171661377,0,,,5,,,,31.5000005066395,,,,,1.2075802661819E-5,1.80476209612212E-7,42.8799119173423,0.0420331803471299,1.7251134794822E-6,2.57822979264373E-8,1.26413127191024E-6,1.93747621477693E-8,1.17387761051559E-6,1.70101580852425E-8,7.00000481443318,8.89725303649902,2,17,1,5,0.028476629450597,0.0315808714717422,0.0130847366526723,16.1275634765625,13.9997673034668,14.0004682540894,0,0,,,5.5675950050354,,1,,,,,,1,1,1,14.0000944137573,0,0,14.0000125340053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765466007.18588,13.9999203681946,0,,,5,,,,31.5000005066395,,,,,1.43999792740112E-5,2.47031343785872E-7,43.1644143742385,0.0448138505534483,2.05715830755443E-6,3.52905078143131E-8,1.50047820585224E-6,2.60830575413487E-8,1.40729011085229E-6,2.37717069451646E-8,6.99993735101995,7.01553535461426,2,14,1,5,0.0343924557535397,0.0372866268064295,0.0125724030658603,13.3533020019531,13.9997797012329,14.000506401062,0,0,,,5.55075740814209,,1,,,,,,1,1,1,13.9998350143433,0,0,14.0000207062924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765466073.84208,13.9999175071716,0,,,5,,,,31.5000005066395,,,,,1.60328345624265E-5,1.62469996640413E-7,42.1182620470604,0.0270133630121617,2.29042217558317E-6,2.32101742036442E-8,1.69894840018971E-6,2.08157394941791E-8,1.53610158384658E-6,1.02672866850976E-8,6.99994731684971,5.53858041763306,2,11,1,5,0.0396156092605271,0.040276869496661,0.0122209433466196,10.8407592773438,13.9996213912964,14.0003147125244,0,0,,,5.52907180786133,,1,,,,,,1,1,1,13.9999809265137,0,0,14.0000000144496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765466140.73148,14.0002021789551,0,,,5,,,,31.5000005066395,,,,,1.83226061649979E-5,3.61384072633671E-7,40.6959744694479,0.0455601695992314,2.61752561029102E-6,5.16265020789968E-8,1.98455595971669E-6,4.80298029228412E-8,1.70674484422317E-6,1.89323466085346E-8,6.99997207017233,4.372145652771,2,8,1,5,0.046924556187249,0.0443655875252101,0.0120058692991734,8.65887451171875,13.9996995925903,14.000527381897,0,0,,,5.51942873001099,,1,,,,,,1,1,1,14.0003318786621,0,0,14.0000080773325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765466209.39317,13.9998955726624,0,,,5,,,,31.5000005066395,,,,,2.03202009366649E-5,3.07404459606899E-7,39.5134036956057,0.0293076722506872,2.90288111214177E-6,4.3914851155378E-8,2.23950240931522E-6,3.91790822290428E-8,1.84698340812817E-6,1.98371789246582E-8,7.00001142026535,3.46004295349121,2,6,1,5,0.0534965763217755,0.0476323414437034,0.0118871992453933,6.91925048828125,13.9996128082275,14.0004596710205,0,0,,,5.50383138656616,,1,,,,,,1,1,1,13.9999742507935,0,0,13.9999718385584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765466277.24362,14.0000972747803,0,,,5,,,,31.5000005066395,,,,,2.2677554244944E-5,1.67688796351066E-7,36.6446544927774,0.011089033427015,3.23963029783817E-6,2.39553921643929E-8,2.59932563983594E-6,2.11849570037971E-8,1.93357458732848E-6,1.11829517792543E-8,7.00004388157405,2.72965812683105,2,5,1,5,0.0626723012761588,0.0496367993796436,0.0118328295648098,5.51785278320313,13.9998235702515,14.0004539489746,0,0,,,5.48892164230347,,1,,,,,,1,1,1,14.0001697540283,0,0,14.0000199149637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765466355.63391,14.0000123977661,0,,,5,,,,31.5000005066395,,,,,2.49230590934803E-5,2.96263209150963E-7,34.3303839235513,0.0137576349113385,3.56041545891967E-6,4.23230593730036E-8,2.94018873883581E-6,3.26112910753867E-8,2.00794631903776E-6,2.69767501580007E-8,7.00004237736981,2.14912533760071,2,4,1,5,0.0713431911373963,0.0512969555987318,0.0117745297029614,4.42117309570313,13.9994792938232,14.0003452301025,0,0,,,5.47079038619995,,1,,,,,,1,1,1,13.9999513626099,0,0,14.0000005135169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765466427.20931,13.9997730255127,0,,,5,,,,31.5000005066395,,,,,2.76809554904806E-5,2.13799772346058E-7,32.0820367849859,0.00717674045310516,3.95442370476673E-6,3.05428361434175E-8,3.3505376594424E-6,1.66877055755606E-8,2.10032479142615E-6,2.55809562430151E-8,6.99999735918877,1.70109140872955,2,3,1,5,0.0816692068043637,0.0534380128419568,0.0117192501202226,3.62405395507812,13.9997634887695,14.0003747940063,0,0,,,5.45716381072998,,1,,,,,,1,1,1,13.9998178482056,0,0,14.0000041060978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765466503.7183,13.9999642372131,0,,,5,,,,31.5000005066395,,,,,2.99661039434561E-5,2.11168759894612E-7,29.3385657941834,0.00615032032773634,4.28089461442955E-6,3.01671251182462E-8,3.73182566505707E-6,1.40634042229727E-8,2.09750706923082E-6,2.66885012610523E-8,6.99996300830433,1.34084260463715,2,2,1,5,0.0912853651999611,0.0532051015520706,0.0116704506799579,2.94732666015625,13.9997215270996,14.0004463195801,0,0,,,5.44056081771851,,1,,,,,,1,1,1,13.9999685287476,0,0,14.0000072278475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765466601.50034,13.999997138977,0,,,5,,,,31.5000005066395,,,,,3.23721009352623E-5,1.29047534779708E-7,26.8090018687425,0.00326963524450586,4.62460593386925E-6,1.84354421817386E-8,4.12753002194428E-6,1.30347740339786E-8,2.08577946138304E-6,1.30368782428672E-8,6.99996959701551,1.06037449836731,2,2,1,5,0.101214943903454,0.0527683926732604,0.0116966143250465,2.37863159179687,13.9996166229248,14.00035572052,0,0,,,5.42285966873169,,1,,,,,,1,1,1,13.9999094009399,0,0,13.9999919467502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
