[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3720609901.29649,11/23/2017,1:47 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Er(COT)I(THF)2,SAMPLE_MATERIAL
INFO,pink cyrstalline powder in 28.8 mg eicosane,SAMPLE_COMMENT
INFO,26.3,SAMPLE_MASS
INFO,28.8,SAMPLE_VOLUME
INFO,542.53,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.79,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3720610830.48177,11.1000442504883,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.41313855521068E-5,1.48194134634244E-7,1.14209986832073,0.000846339016252676,4.70669884229264E-5,7.40991070965858E-8,4.70576379208056E-5,6.25687823697688E-8,9.38143122477445E-7,3.96966641580348E-8,1.99994494456023,8.52446269989014,2,17,1,5,0.329653921666987,0.0349053170180623,0.0134266242384911,14.5771484375,11.0991888046265,11.1013507843018,-0.232215464115143,-0.232215464115143,,,0.283597618341446,0,1,,,,,,1,1,3,11.1000814437866,0,0,11.1000879578671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610893.53353,11.1000928878784,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.45199194270705E-5,1.77646500129142E-7,1.00147535380481,0.00129300519640774,4.72596320769624E-5,8.88226342844178E-8,4.72524129521513E-5,6.4479069807519E-8,8.26011046667422E-7,6.10893601045265E-8,2.00001386538822,6.72193384170532,2,13,1,5,0.331714437507061,0.0289980227482311,0.012982465326786,11.9632263183594,11.0992317199707,11.1014366149902,-0.232215464115143,-0.232215464115143,,,0.283608347177506,0,1,,,,,,1,1,3,11.1001453399658,0,0,11.1000215499128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720610956.73747,11.0999999046326,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.44361292544938E-5,1.53994248525794E-7,0.878270528540332,0.000703471249969978,4.72192490312715E-5,7.69990556360818E-8,4.72137015999928E-5,6.9522107302149E-8,7.23781945113713E-7,3.30988091193158E-8,1.99994983384747,5.29819059371948,2,10,1,5,0.331925445582612,0.0237985579606425,0.0126585410907865,9.6358642578125,11.0993709564209,11.1013221740723,-0.232215464115143,-0.232215464115143,,,0.283489018678665,0,1,,,,,,1,1,3,11.0999422073364,0,0,11.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720611020.72963,11.1000561714172,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.46664465227091E-5,1.23143975468426E-7,0.759328833021949,0.000517888659631053,4.73321675732224E-5,6.15706144743279E-8,4.73280110083921E-5,5.65137612267126E-8,6.2726483172991E-7,2.44363532213062E-8,2.00004460763942,4.2035231590271,2,8,1,5,0.333084227295151,0.0195597824590575,0.0125042954459786,7.71820068359375,11.0991888046265,11.1013059616089,-0.232215464115143,-0.232215464115143,,,0.283457547426224,0,1,,,,,,1,1,3,11.10009765625,0,0,11.0999835878611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720611088.335,11.0999341011047,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.4646300013766E-5,1.3241945121481E-7,0.527175277674027,0.000745839802502649,4.73242203620503E-5,6.62112231392032E-8,4.73222172040101E-5,5.60319343455151E-8,4.35421373370948E-7,3.5275322863005E-8,1.99995476501634,3.30276823043823,2,6,1,5,0.333294238545673,0.0151489884871408,0.012425028719008,6.11770629882813,11.0993347167969,11.101188659668,-0.232215464115143,-0.232215464115143,,,0.283489018678665,0,1,,,,,,1,1,3,11.0999946594238,0,0,11.100011955608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720611159.23207,11.0999331474304,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.48473741965791E-5,8.19230471393848E-8,0.512466725806137,0.000568340657589427,4.74227874344974E-5,4.09607464981089E-8,4.74208905527131E-5,3.08463753501101E-8,4.24154741958703E-7,2.69496545700026E-8,2.00003794225691,2.59945297241211,2,5,1,5,0.33414212904208,0.0126580369442832,0.0123620610684156,4.86849975585937,11.0992450714111,11.1013851165771,-0.232215464115143,-0.232215464115143,,,0.283397674560547,0,1,,,,,,1,1,3,11.1000699996948,0,0,11.100010791295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720611230.08887,11.1000027656555,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.50463228186331E-5,1.89409272079821E-7,0.381297372565709,0.000899149861476651,4.75235359200762E-5,9.47053823687347E-8,4.75224835717655E-5,8.4528582428211E-8,3.16261787213727E-7,4.27086431801032E-8,1.99998423893541,2.03994512557983,2,4,1,5,0.334958442851348,0.00995243019222524,0.0123130707070231,3.94741821289063,11.099178314209,11.1011600494385,-0.232215464115143,-0.232215464115143,,,0.283290088176727,0,1,,,,,,1,1,3,11.1000022888184,0,0,11.10000201634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720611300.11351,11.1000695228577,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.49269665215736E-5,1.35618775585193E-7,0.368501716837579,0.00116607803340204,4.74633697317497E-5,6.78092255977055E-8,4.74623880723217E-5,3.91725263922854E-8,3.05261797648206E-7,5.53498351597024E-8,2.00000478385912,1.61127662658691,2,3,1,5,0.334595702481467,0.00835090642505898,0.0122484806925058,3.2979736328125,11.0993137359619,11.101414680481,-0.232215464115143,-0.232215464115143,,,0.283645451068878,0,1,,,,,,1,1,3,11.1000423431396,0,0,11.1000253428584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720611374.97424,11.0999803543091,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.46304621745602E-5,1.30609940890518E-7,0.193275822747516,0.000658014079583265,4.7315973857989E-5,6.53059956250602E-8,4.73157046504783E-5,5.74088702908277E-8,1.59610646900099E-7,3.11302855192705E-8,1.99996860380762,1.30083453655243,2,2,1,5,0.333605241283713,0.0062071098858529,0.0122663425281644,2.73287963867187,11.0992527008057,11.101450920105,-0.232215464115143,-0.232215464115143,,,0.283132314682007,0,1,,,,,,1,1,3,11.1000566482544,0,0,11.1000182098813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3720611455.30252,11.1001110076904,-0.232215464115143,,,5,,,,21.5700007975101,,,,,9.51192990384618E-5,9.31945156502938E-8,0.124152002448787,0.000775344312520953,4.75605325863799E-5,4.65981230230202E-8,4.75604209312359E-5,2.84873697648806E-8,1.03056992811213E-7,3.68762095821614E-8,1.99996286554834,1.00057637691498,2,2,1,5,0.33535939676769,0.00476498052053768,0.0122059043496847,2.17990112304687,11.0993595123291,11.1012916564941,-0.232215464115143,-0.232215464115143,,,0.283248990774155,0,1,,,,,,1,1,3,11.1000509262085,0,0,11.1000199899441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
